Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
General Surgeon,Alabama,"The General Surgeon reviews patient history and confirms need for surgery. Performs surgery to prevent and correct injuries, deformities, diseases or improve patient function, appearance or quality of life. Being a General Surgeon may provide medical personnel with direction concerning patient care. Determines which instruments and method of surgery will be most successful in achieving desired outcome. In addition, General Surgeon may provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to a medical director. Requires a license to practice. General Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",280190,336000,397300,471500,539055
Cardiothoracic Surgeon,Alabama,"The Cardiothoracic Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. Specializes in the diagnosis, medical management, and surgical treatment of patients with diseases of the heart and lungs. Being a Cardiothoracic Surgeon reviews patient history and confirms need for surgery. Identifies need for tests or follow-up visits. In addition, Cardiothoracic Surgeon may provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Cardiothoracic Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",295972,382100,476700,597600,707673
Neurological Surgeon,Alabama,"The Neurological Surgeon operates on the brain in order to relieve pressure in an intracranial hemorrhage, remove a foreign body such as a tumor, treat a wound, or relieve pain. Examines, diagnoses, and surgically treats disorders of the brain, spine, spinal cord, and nerves. Being a Neurological Surgeon reviews patient history and confirms need for surgery. Operates on the spine in order to free entrapped nerves, correct deformity, or restore spinal stability. In addition, Neurological Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. May provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Neurological Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",325012,463400,615400,778700,927376
Oral Surgeon,Alabama,"The Oral Surgeon reviews patient history and confirms need for oral surgery. Performs oral surgery to prevent and correct injuries, deformities, diseases or improve patient function, appearance or quality of life. Being an Oral Surgeon reviews patient history and confirms need for surgery. Determines which instruments and method of oral surgery will be most successful in achieving desired outcome. In addition, Oral Surgeon provides charting in compliance with all laws and regulations. May provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Oral Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",252193,269400,288300,314900,339118
Orthopedic Surgeon,Alabama,"The Orthopedic Surgeon performs surgical procedures to immobilize fractures by using corrective devices such as braces, pins, casts, and splints. Examines, diagnoses, and surgically treats musculoskeletal diseases and injuries. Being an Orthopedic Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. Reviews patient history and confirms need for surgery. In addition, Orthopedic Surgeon may provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to a medical director. Requires a license to practice. Orthopedic Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",291021,386800,492000,636500,768060
Burn Surgeon,Alabama,"The Burn Surgeon performs escharectomy, skin grafting, and secondary burn surgery. Examines, diagnoses, and surgically treats patients with burns from heat, cold, chemical, or electrical incidents. Being a Burn Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. Reviews patient history and confirms need for surgery. In addition, Burn Surgeon may provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Burn Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",195784,285500,434800,549500,653928
General Surgeon,Alaska,"The General Surgeon reviews patient history and confirms need for surgery. Performs surgery to prevent and correct injuries, deformities, diseases or improve patient function, appearance or quality of life. Being a General Surgeon may provide medical personnel with direction concerning patient care. Determines which instruments and method of surgery will be most successful in achieving desired outcome. In addition, General Surgeon may provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to a medical director. Requires a license to practice. General Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",332719,399000,471800,559900,640110
Cardiothoracic Surgeon,Alaska,"The Cardiothoracic Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. Specializes in the diagnosis, medical management, and surgical treatment of patients with diseases of the heart and lungs. Being a Cardiothoracic Surgeon reviews patient history and confirms need for surgery. Identifies need for tests or follow-up visits. In addition, Cardiothoracic Surgeon may provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Cardiothoracic Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",351557,453800,566100,709700,840440
Neurological Surgeon,Alaska,"The Neurological Surgeon operates on the brain in order to relieve pressure in an intracranial hemorrhage, remove a foreign body such as a tumor, treat a wound, or relieve pain. Examines, diagnoses, and surgically treats disorders of the brain, spine, spinal cord, and nerves. Being a Neurological Surgeon reviews patient history and confirms need for surgery. Operates on the spine in order to free entrapped nerves, correct deformity, or restore spinal stability. In addition, Neurological Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. May provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Neurological Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",385682,550200,730900,924800,1101336
Oral Surgeon,Alaska,"The Oral Surgeon reviews patient history and confirms need for oral surgery. Performs oral surgery to prevent and correct injuries, deformities, diseases or improve patient function, appearance or quality of life. Being an Oral Surgeon reviews patient history and confirms need for surgery. Determines which instruments and method of oral surgery will be most successful in achieving desired outcome. In addition, Oral Surgeon provides charting in compliance with all laws and regulations. May provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Oral Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",299506,319900,342300,373900,402670
